Scientific Name,Common Name(s),Part(s) Used,Form of Use,Comments
Juniperus spp.,"Sabino, Juniper berry",Berry,Tea,May induce uterine contractions.
Leonorus cardiaca,"Motherwort, Agripalma","Stem, leaves, and flowers","Tea, tinctures, syrups",May induce uterine contractions.
Lycopus virginicus,"Bugleweed, Menta de lobo","Stem, leaves, and flowers","Tea, tinctures",May induce uterine contractions.
Matricaria recutita,"Manzanilla alemana, German chamomille",Flowers,"Tea, capsules, Enema",May induce uterine contractions.
Mentha pulegium,"Poleo, Pennyroyal","leaves, Steams and Flowers","Te, Aceite esencial",Essential oil should not be used internally; abortifacient and liver toxic.
Montanoa tomentosa,Zoapatle. Cihuapatli,Leaves and stems,Tea,May induce uterine contractions.
Nicotiana tabacum,"Tabaco, Tobacco",leaves,"Smoked, chewed",Castor oil used as laxative may stimulate uterine contractions. The seeds are very poisonous.
Ocimum basilicum,"Basil, Albahaca, Albacar",Leaves and stems,"Tea, essential oil",Safe as a condiment. Avoid essential oil during pregnancy.
Origanum spp,Oregano,Leaves and stems,"Tea, essential oil",Occasional use as a condiment considered safe. Taken as tea may induce uterine contractions. Avoid topical use of essential oil during pregnancy; avoid ingestion of essential oil.
Panax ginseng,"Ginseng coreano, Korean ginseng",Root,"Tea, capsules",Safety for use during pregnancy not established.
Panax quinquefolius,"Ginseng americano, American ginseng",Root,"Tea, capsules",Safety for use during pregnancy not established.
Passiflora incarnata,"Flor de la pasión, Passion flower",Flowers,"Tea, capsules",May induce uterine contractions.
Pausinystalia yohimbe,Yohimbe,Tree Bark,"Tea, capsules",May induce uterine contractions.
Peumus boldus,Boldo,leaves,Tea,"Contains a toxic compound known as ascaridol and a hypnotic alkaloid, boldine."
Piper methysticum,Kava kava,"Rhizomes, root","Liquid extracts, capsules",Safety for use during pregnancy not established.
Rhamnus purshiana,"Espino cerval, Buckthorn",Corteza,"Tea, capsules",May induce uterine contractions.
Rheum spp,"Ruibarbo, Rhubarb",Root,"Tea, capsules",May induce uterine contractions.
Ricinus communis,"Ricino, Castor oil, palma Christi",Seeds,Oil,Castor oil used as laxative may stimulate uterine contractions. The seeds are very poisonous.
Rosmarinus officinalis,"Romero, Rosemary",Steams and leaves,"Tea, essential oil",Occasional use as a condiment considered safe. Taken as tea may induce uterine contractions. Avoid topical use of essential oil during pregnancy; avoid ingestion of essential oil.
Ruta graveolens,"Rue, Ruda",Leaves and stems,Tea,"Toxic internally, may induce uterine contractions."
Serenoa repens,"Palma sabal, Saw palmetto",Berrys,"Pills, capsules",Bark may induce uterine contractions. Unripe berries are toxic.
Symphytum officinale,Comfrey,Planta entera,"Tea, capsules",Avoid prolonged use internally; can be liver toxic.
Tabebuia spp,"Palo de arco, lapacho Pau d´ arco","Flowers, Arbol, Corteza","Tea, capsules",May induce uterine contractions.
Tanacetum vulgare,"Tanaceto, Feverfew","Flowers, Steams","Tea, capsules",May induce uterine contractions.
Tanacetum vulgare,"Tanaceto, Feverfew","Flowers, Steams","Tea, capsules",May induce uterine contractions.
Trifolium pratense,"Trébol, Clover","Flowers, Steams","Tea, capsules",May induce uterine contractions.
Trigonella foenum-graecum,"Alholva, fenogreco, Fenugreek","leaves, Semillas","Tea, capsules",May induce uterine contractions.
Turnera diffusa,"Damiana, hierba de la pastora","Flowers, Steams","Tea, capsules",May induce uterine contractions.
Uncaria tomentosa,"Uña de gato, Cat´s claw",Liana,"Tea, capsules",May induce uterine contractions.
Ustilago maydis,"Corn smut, Cuitlacoche, Huitlacoche",Fungus,Food,Safety for ingestion during pregnancy not established. Avoid especially during the first trimester of pregnancy.
